DAUID,characteristic,value
35010159,Population_2021,533.0
35010159,Total_households,205.0
35010159,Median_income_2020,87000.0
35010160,Population_2021,485.0
35010160,Total_households,195.0
35010160,Median_income_2020,88000.0
35010161,Population_2021,402.0
35010161,Total_households,160.0
35010161,Median_income_2020,77000.0
35010162,Population_2021,383.0
35010162,Total_households,155.0
35010162,Median_income_2020,73500.0
35010163,Population_2021,519.0
35010163,Total_households,215.0
35010163,Median_income_2020,84000.0
35010164,Population_2021,450.0
35010164,Total_households,180.0
35010164,Median_income_2020,92000.0
35010165,Population_2021,402.0
35010165,Total_households,175.0
35010165,Median_income_2020,87000.0
35010166,Population_2021,488.0
35010166,Total_households,190.0
35010166,Median_income_2020,97000.0
35010167,Population_2021,461.0
35010167,Total_households,185.0
35010167,Median_income_2020,96000.0
35010168,Population_2021,429.0
35010168,Total_households,155.0
35010168,Median_income_2020,105000.0
35010169,Population_2021,435.0
35010169,Total_households,165.0
35010169,Median_income_2020,95000.0
35010170,Population_2021,495.0
35010170,Total_households,185.0
35010170,Median_income_2020,99000.0
35010171,Population_2021,490.0
35010171,Total_households,185.0
35010171,Median_income_2020,89000.0
35010172,Population_2021,1089.0
35010172,Total_households,405.0
35010172,Median_income_2020,100000.0
35010173,Population_2021,821.0
35010173,Total_households,350.0
35010173,Median_income_2020,105000.0
35010179,Population_2021,601.0
35010179,Total_households,230.0
35010179,Median_income_2020,130000.0
35010376,Population_2021,667.0
35010376,Total_households,295.0
35010376,Median_income_2020,92000.0
35010399,Population_2021,422.0
35010399,Total_households,180.0
35010399,Median_income_2020,79000.0
35010400,Population_2021,491.0
35010400,Total_households,205.0
35010400,Median_income_2020,64000.0
35010401,Population_2021,560.0
35010401,Total_households,210.0
35010401,Median_income_2020,112000.0
35010402,Population_2021,461.0
35010402,Total_households,165.0
35010402,Median_income_2020,88000.0
35010403,Population_2021,426.0
35010403,Total_households,190.0
35010403,Median_income_2020,73000.0
35010404,Population_2021,1029.0
35010404,Total_households,525.0
35010404,Median_income_2020,83000.0
35010405,Population_2021,397.0
35010405,Total_households,155.0
35010405,Median_income_2020,86000.0
35010406,Population_2021,394.0
35010406,Total_households,175.0
35010406,Median_income_2020,79500.0
35010174,Population_2021,
35010174,Total_households,
35010174,Median_income_2020,
35010175,Population_2021,
35010175,Total_households,
35010175,Median_income_2020,
35010176,Population_2021,
35010176,Total_households,
35010176,Median_income_2020,
35010177,Population_2021,
35010177,Total_households,
35010177,Median_income_2020,
