DAUID,Median_income_2020,Population_2021,Total_households
35010155,72500,457,190
35010156,72500,449,195
35010157,72500,472,200
35010158,76000,495,205
35010159,87000,533,205
35010160,88000,485,195
35010161,77000,402,160
35010162,73500,383,155
35010163,84000,519,215
35010164,92000,450,180
35010165,87000,402,175
35010166,97000,488,190
35010167,96000,461,185
35010168,105000,429,155
35010169,95000,435,165
35010170,99000,495,185
35010171,89000,490,185
35010172,100000,1089,405
35010173,105000,821,350
35010179,130000,601,230
35010180,82000,1215,460
35010181,81000,392,145
35010182,79000,441,185
35010183,60000,765,245
35010184,79500,392,175
35010185,55600,789,420
35010186,64500,623,285
35010187,54800,677,300
35010188,62400,447,195
35010189,95000,420,170
35010190,60800,444,185
35010191,55600,413,200
35010192,63600,444,215
35010193,42400,326,175
35010194,39200,395,190
35010195,42000,411,205
35010196,38000,391,190
35010197,44000,400,205
35010198,31400,369,240
35010199,41600,487,235
35010200,55600,420,195
35010202,45600,491,205
35010203,39200,577,305
35010204,42400,477,300
35010205,55200,322,135
35010206,60000,453,220
35010207,91000,276,110
35010208,56800,448,210
35010209,52400,431,205
35010210,28400,486,295
35010211,62800,458,200
35010212,42800,467,235
35010213,66500,514,205
35010214,61200,372,150
35010215,67000,691,230
35010216,69000,396,195
35010217,75000,1193,505
35010218,64000,467,190
35010219,57200,451,220
35010220,67500,463,210
35010221,54800,482,235
35010222,58000,555,240
35010223,51600,540,275
35010224,63200,594,215
35010225,54000,777,365
35010226,46400,501,200
35010227,80000,308,130
35010228,100000,634,200
35010229,98000,660,265
35010230,135000,447,160
35010231,101000,441,180
35010232,96000,426,170
35010233,89000,515,215
35010234,85000,493,195
35010235,56000,530,235
35010237,52000,488,290
35010238,47600,431,210
35010239,46800,598,295
35010240,51600,398,190
35010241,54000,532,230
35010242,47200,431,210
35010243,56400,519,220
35010244,46000,542,260
35010245,51600,561,280
35010246,53200,461,235
35010247,28800,623,435
35010248,25600,653,280
35010249,66500,474,250
35010250,71500,365,155
35010251,76500,331,140
35010252,79000,402,170
35010253,79000,779,315
35010254,83000,364,150
35010255,93000,289,120
35010256,69500,344,150
35010257,80000,605,260
35010258,83000,467,210
